prompt,response
"# Calculate the sum of the first 5 numbers
sum = 0
for i in range(1, 6):
    sum += i
print(sum)","# Calculate the sum of the first 5 numbers (optimized)
print(sum(range(1, 6)))"
"# Check if a number is positive
num = 10
if num > 0:
    print(""Positive"")","# Check if a number is positive (optimized)
num = 10
print(""Positive"" if num > 0 else ""Not Positive"")"
"# Print the square of numbers from 1 to 5
for i in range(1, 6):
    print(i**2)","# Print the square of numbers from 1 to 5 (single-line)
print([x**2 for x in range(1, 6)])"
"# Find the largest number in a list
numbers = [3, 1, 4, 1, 5]
max_num = max(numbers)
print(max_num)","# Find the largest number in a list (optimized)
print(max([3, 1, 4, 1, 5]))"
"# Check if a string contains another string
if ""hello"" in ""hello world"":
    print(""Found"")","# Check if a string contains another string (optimized)
print(""Found"" if ""hello"" in ""hello world"" else ""Not Found"")"
"# Reverse a string
text = ""hello""
reversed_text = text[::-1]
print(reversed_text)","# Reverse a string (simplified)
print(""hello""[::-1])"
"# Sort a list in ascending order
numbers = [5, 2, 9, 1]
numbers.sort()
print(numbers)","# Sort a list in ascending order (simplified)
print(sorted([5, 2, 9, 1]))"
"# Count the occurrences of an element in a list
numbers = [1, 2, 2, 3]
count = numbers.count(2)
print(count)","# Count the occurrences of an element in a list (simplified)
print([1, 2, 2, 3].count(2))"
"# Convert a list of strings to uppercase
words = [""hello"", ""world""]
uppercase_words = [word.upper() for word in words]
print(uppercase_words)","# Convert a list of strings to uppercase (optimized)
print([word.upper() for word in [""hello"", ""world""]])"
"# Calculate the factorial of a number
n = 5
factorial = 1
for i in range(1, n + 1):
    factorial *= i
print(factorial)","# Calculate the factorial of a number (using math.factorial)
import math
print(math.factorial(5))"
"# Check if a number is even
num = 4
if num % 2 == 0:
    print(""Even"")","# Check if a number is even (optimized)
num = 4
print(""Even"" if num % 2 == 0 else ""Odd"")"
"# Find the length of a string
string = ""hello""
length = len(string)
print(length)","# Find the length of a string (optimized)
print(len(""hello""))"
"# Create a list of numbers from 1 to 10
numbers = []
for i in range(1, 11):
    numbers.append(i)
print(numbers)","# Create a list of numbers from 1 to 10 (simplified)
print(list(range(1, 11)))"
"# Filter even numbers from a list
numbers = [1, 2, 3, 4, 5]
evens = []
for num in numbers:
    if num % 2 == 0:
        evens.append(num)
print(evens)","# Filter even numbers from a list (using list comprehension)
print([num for num in [1, 2, 3, 4, 5] if num % 2 == 0])"
"# Concatenate two strings
str1 = ""hello ""
str2 = ""world""
result = str1 + str2
print(result)","# Concatenate two strings (optimized)
print(""hello "" + ""world"")"
"# Check if a list is empty
my_list = []
if len(my_list) == 0:
    print(""Empty"")","# Check if a list is empty (concise)
my_list = []
print(""Empty"" if not my_list else ""Not Empty"")"
"# Multiply all elements in a list
numbers = [1, 2, 3]
result = 1
for num in numbers:
    result *= num
print(result)","# Multiply all elements in a list (using math.prod)
import math
print(math.prod([1, 2, 3]))"
"# Convert a string to lowercase
text = ""HELLO""
lowercase_text = text.lower()
print(lowercase_text)","# Convert a string to lowercase (optimized)
print(""HELLO"".lower())"
"# Find the minimum number in a list
numbers = [4, 2, 8]
min_num = min(numbers)
print(min_num)","# Find the minimum number in a list (optimized)
print(min([4, 2, 8]))"
"# Find the index of an element in a list
numbers = [10, 20, 30]
index = numbers.index(20)
print(index)","# Find the index of an element in a list (optimized)
print([10, 20, 30].index(20))"
"# Find the sum of numbers from 1 to 10
sum = 0
for i in range(1, 11):
    sum += i
print(sum)","# Optimized version using built-in functions
print(sum(range(1, 11)))"
"# Reverse a string
string = ""hello""
reversed_string = """"
for char in string:
    reversed_string = char + reversed_string
print(reversed_string)","# Optimized version using slicing
print(""hello""[::-1])"
"# Count even numbers in a list
numbers = [1, 2, 3, 4, 5, 6]
evens = []
for num in numbers:
    if num % 2 == 0:
        evens.append(num)
print(evens)","# Optimized version using list comprehension
print([num for num in [1, 2, 3, 4, 5, 6] if num % 2 == 0])"
"# Find the length of a string
string = ""hello""
count = 0
for char in string:
    count += 1
print(count)","# Optimized version using len()
print(len(""hello""))"
"# Check if a number is prime
num = 29
is_prime = True
for i in range(2, num):
    if num % i == 0:
        is_prime = False
        break
print(is_prime)","# Optimized version using sqrt and range step
from math import sqrt
num = 29
print(all(num % i != 0 for i in range(2, int(sqrt(num)) + 1)))"
"# Calculate factorial of a number
num = 5
factorial = 1
for i in range(1, num + 1):
    factorial *= i
print(factorial)","# Optimized version using math.factorial
from math import factorial
print(factorial(5))"
"# Find unique elements in a list
numbers = [1, 2, 2, 3, 4, 4, 5]
unique_numbers = []
for num in numbers:
    if num not in unique_numbers:
        unique_numbers.append(num)
print(unique_numbers)","# Optimized version using set
print(list(set([1, 2, 2, 3, 4, 4, 5])))"
"# Sort a list of numbers
numbers = [5, 2, 9, 1, 5, 6]
for i in range(len(numbers)):
    for j in range(i + 1, len(numbers)):
        if numbers[i] > numbers[j]:
            numbers[i], numbers[j] = numbers[j], numbers[i]
print(numbers)","# Optimized version using sorted()
print(sorted([5, 2, 9, 1, 5, 6]))"
"# Count occurrences of an element in a list
numbers = [1, 2, 2, 3, 4, 2, 5]
count = 0
for num in numbers:
    if num == 2:
        count += 1
print(count)","# Optimized version using list.count()
print([1, 2, 2, 3, 4, 2, 5].count(2))"
